"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
16.919,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
9.765,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
15.888,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
7.225,1,2.24,0,0,0,0,1,0,0,0,0,0
21.256,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
9.637,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
15.39,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
8.068,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
15.834,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
6.901,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
19.439,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
12.7,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
24.544,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
9.375,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
17.103,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
6.732,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
6.613,1,2.24,0,0,0,0,1,0,0,0,0,0
10.906,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
6.158,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
26.786,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
7.666,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
7.451,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
29.055,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
24.135,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
21.086,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
12.14,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
10.571,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
48.164,50,1065.02231025696,0,0,0,0,0,0,0,0,1,0
9.624,1,2.24,0,0,0,0,1,0,0,0,0,0
4.575,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
9.799,1,2.24,0,0,0,0,1,0,0,0,0,0
21.601,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
14.239,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
10.855,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
16.936,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
